代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002042"	华孚色纺	0.78	5.16	0.04	5.16	5.17	270263	1886	         -0.19	          3.26	5.12	5.36	5.08	5.12	    16.22	140368224	  2.42	纺织	安徽	 5.47	
="000576"	广东甘化	0.77	13.09	0.10	13.08	13.09	39900	527	          0.46	          1.56	13.10	13.10	12.70	12.99	   745.03	51440876	  1.57	综合类	广东	 3.08	
="601139"	深圳燃气	0.77	7.89	0.06	7.89	7.90	208234	349	          0.12	          1.09	7.84	7.99	7.70	7.83	    20.11	164167616	  1.85	供气供热	深圳	 3.70	
="601857"	中国石油	0.76	7.92	0.06	7.92	7.93	1431834	1209	         -0.12	          0.09	7.87	8.05	7.86	7.86	    11.32	1138734592	  4.09	石油开采	北京	 2.42	
="000821"	京山轻机	0.76	7.98	0.06	7.96	7.98	100159	614	         -0.12	          2.90	7.93	8.05	7.65	7.92	--  	78883224	  0.96	轻工机械	湖北	 5.05	
="600759"	洲际油气	0.74	10.85	0.08	10.84	10.85	169619	1	          0.46	          1.39	10.83	10.88	10.47	10.77	--  	180735280	  1.30	石油开采	海南	 3.81	
="000552"	靖远煤电	0.74	9.58	0.07	9.58	9.59	158378	1780	          0.41	          4.47	9.50	9.82	9.37	9.51	    18.97	152225872	  1.79	煤炭开采	甘肃	 4.73	
="601669"	中国电建	0.72	4.18	0.03	4.18	4.19	4070806	20	          0.72	         12.34	4.33	4.44	4.08	4.15	     9.05	1719693568	  1.14	建筑施工	北京	 8.67	
="002434"	万里扬	0.72	16.89	0.12	16.89	16.90	53658	1045	          0.17	          1.64	16.65	17.08	16.36	16.77	    31.53	89562600	  1.05	汽车配件	浙江	 4.29	
="600660"	福耀玻璃	0.71	11.36	0.08	11.35	11.36	473339	267	          0.53	          2.36	11.28	11.65	11.00	11.28	    10.83	539174528	  1.96	汽车配件	福建	 5.76	
="000333"	美的集团	0.69	21.85	0.15	21.85	21.86	600227	3607	         -0.04	          2.68	21.76	21.99	21.33	21.70	     7.72	1307188992	  1.85	家用电器	广东	 3.04	
="600337"	美克家居	0.68	8.84	0.06	8.83	8.84	87631	13	         -0.11	          1.37	8.79	8.87	8.32	8.78	    28.78	75420968	  1.57	家居用品	新疆	 6.26	
="300063"	天龙集团	0.68	16.27	0.11	16.20	16.27	42483	64	          0.00	          3.73	17.18	17.18	15.60	16.16	 12875.08	69074496	  1.30	染料涂料	广东	 9.78	
